ticker,model,method,var,var_pct,ess
AAPL,RiskMetrics + GH,MC,0.06386743544913764,6.386743544913765,100000.0
AAPL,RiskMetrics + GH,IS,0.06329148100029669,6.329148100029669,21200.166176985742
AAPL,RiskMetrics + residuals,MC,0.06222520444104229,6.222520444104229,100000.0
AAPL,RiskMetrics + residuals,IS,0.0625203739638791,6.252037396387911,15577.661385619162
AAPL,Empirical returns,MC,0.12184030959052194,12.184030959052194,100000.0
AAPL,Empirical returns,IS,0.12217853111933219,12.21785311193322,19533.79807668539
MSFT,RiskMetrics + GH,MC,0.08038739074840284,8.038739074840285,100000.0
MSFT,RiskMetrics + GH,IS,0.08100965624160816,8.100965624160816,21502.471802949178
MSFT,RiskMetrics + residuals,MC,0.08104668626778855,8.104668626778855,100000.0
MSFT,RiskMetrics + residuals,IS,0.08119289241996974,8.119289241996974,13928.612573762328
MSFT,Empirical returns,MC,0.11272353050688089,11.27235305068809,100000.0
MSFT,Empirical returns,IS,0.11162659548984533,11.162659548984532,16423.538891643213
