ticker,method,n_forecasts,breaches,expected_breaches,breach_rate,kupiec_p_value,christoffersen_p_value,conditional_coverage_p_value,max_breach_streak,mean_var_pct
AAPL,rm_gh_mc,302.0,4.0,3.02,0.013245033112582781,0.5892506704438647,0.7427234487036593,0.8190323579738181,1.0,12.357956449718728
AAPL,rm_gh_is,302.0,4.0,3.02,0.013245033112582781,0.5892506704438647,0.7427234487036593,0.8190323579738181,1.0,12.397734555999621
AAPL,rm_residual_mc,302.0,4.0,3.02,0.013245033112582781,0.5892506704438647,0.7427234487036593,0.8190323579738181,1.0,12.13236004961611
AAPL,rm_residual_is,302.0,4.0,3.02,0.013245033112582781,0.5892506704438647,0.7427234487036593,0.8190323579738181,1.0,12.210102447900404
AAPL,empirical_mc,302.0,3.0,3.02,0.009933774834437087,0.9907612151912385,0.8058590025932344,0.9701846224164773,1.0,12.217511544069275
AAPL,empirical_is,302.0,3.0,3.02,0.009933774834437087,0.9907612151912385,0.8058590025932344,0.9701846224164773,1.0,12.236417720927296
MSFT,rm_gh_mc,302.0,3.0,3.02,0.009933774834437087,0.9907612151912385,0.8058590025932344,0.9701846224164773,1.0,11.103427525950524
MSFT,rm_gh_is,302.0,3.0,3.02,0.009933774834437087,0.9907612151912385,0.8058590025932344,0.9701846224164773,1.0,11.112068174322168
MSFT,rm_residual_mc,302.0,2.0,3.02,0.006622516556291391,0.5296634078267075,0.8700674792522054,0.8098577492249891,1.0,11.436207527341374
MSFT,rm_residual_is,302.0,2.0,3.02,0.006622516556291391,0.5296634078267075,0.8700674792522054,0.8098577492249891,1.0,11.494182894530374
MSFT,empirical_mc,302.0,3.0,3.02,0.009933774834437087,0.9907612151912385,0.016030090670695656,0.05503135071674509,2.0,11.378688829057971
MSFT,empirical_is,302.0,3.0,3.02,0.009933774834437087,0.9907612151912385,0.016030090670695656,0.05503135071674509,2.0,11.415317065940272
